id;nombre;descripcion
1;Cardiología;Diagnóstico y tratamiento de enfermedades del corazón y sistema circulatorio
2;Pediatría;Atención médica integral de bebés, niños y adolescentes
3;Dermatología;Diagnóstico y tratamiento de enfermedades de la piel, cabello y uñas
4;Ginecología;Salud reproductiva y del sistema reproductor femenino
5;Oftalmología;Diagnóstico y tratamiento de enfermedades visuales y oculares
6;Traumatología;Tratamiento de lesiones musculoesqueléticas, huesos y articulaciones
7;Neurología;Trastornos del sistema nervioso central y periférico
8;Psiquiatría;Salud mental y tratamiento de trastornos psicológicos
9;Endocrinología;Trastornos hormonales y del metabolismo
10;Gastroenterología;Enfermedades del sistema digestivo y órganos asociados
